thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.6,0.9,0.6,0.781296,tbd
0.6,0.9,0.7000000000000001,0.781296,tbd
0.6,0.9,0.8,0.781296,tbd
0.6,0.9,0.9,0.781296,tbd
0.7000000000000001,0.1,0.1,0.810439,tbd
0.7000000000000001,0.1,0.2,0.810295,tbd
0.7000000000000001,0.1,0.30000000000000004,0.809272,tbd
0.7000000000000001,0.1,0.4,0.808437,tbd
0.7000000000000001,0.1,0.5,0.806588,tbd
0.7000000000000001,0.1,0.6,0.803898,tbd
0.7000000000000001,0.1,0.7000000000000001,0.799508,tbd
0.7000000000000001,0.1,0.8,0.791608,tbd
0.7000000000000001,0.1,0.9,0.781666,tbd
0.7000000000000001,0.2,0.1,0.810196,tbd
0.7000000000000001,0.2,0.2,0.810196,tbd
0.7000000000000001,0.2,0.30000000000000004,0.810005,tbd
0.7000000000000001,0.2,0.4,0.809619,tbd
0.7000000000000001,0.2,0.5,0.808349,tbd
0.7000000000000001,0.2,0.6,0.806441,tbd
0.7000000000000001,0.2,0.7000000000000001,0.803559,tbd
0.7000000000000001,0.2,0.8,0.800727,tbd
0.7000000000000001,0.2,0.9,0.800727,tbd
0.7000000000000001,0.30000000000000004,0.1,0.809492,tbd
0.7000000000000001,0.30000000000000004,0.2,0.809492,tbd
0.7000000000000001,0.30000000000000004,0.30000000000000004,0.809492,tbd
0.7000000000000001,0.30000000000000004,0.4,0.80934,tbd
0.7000000000000001,0.30000000000000004,0.5,0.808438,tbd
0.7000000000000001,0.30000000000000004,0.6,0.807004,tbd
0.7000000000000001,0.30000000000000004,0.7000000000000001,0.805613,tbd
0.7000000000000001,0.30000000000000004,0.8,0.805613,tbd
0.7000000000000001,0.30000000000000004,0.9,0.805613,tbd
0.7000000000000001,0.4,0.1,0.808085,tbd
0.7000000000000001,0.4,0.2,0.808085,tbd
0.7000000000000001,0.4,0.30000000000000004,0.808085,tbd
0.7000000000000001,0.4,0.4,0.808085,tbd
0.7000000000000001,0.4,0.5,0.807504,tbd
0.7000000000000001,0.4,0.6,0.807307,tbd
0.7000000000000001,0.4,0.7000000000000001,0.807307,tbd
0.7000000000000001,0.4,0.8,0.807307,tbd
0.7000000000000001,0.4,0.9,0.807307,tbd
0.7000000000000001,0.5,0.1,0.806881,tbd
0.7000000000000001,0.5,0.2,0.806881,tbd
0.7000000000000001,0.5,0.30000000000000004,0.806881,tbd
0.7000000000000001,0.5,0.4,0.806881,tbd
0.7000000000000001,0.5,0.5,0.806881,tbd
0.7000000000000001,0.5,0.6,0.806881,tbd
0.7000000000000001,0.5,0.7000000000000001,0.806881,tbd
0.7000000000000001,0.5,0.8,0.806881,tbd
0.7000000000000001,0.5,0.9,0.806881,tbd
0.7000000000000001,0.6,0.1,0.80523,tbd
0.7000000000000001,0.6,0.2,0.80523,tbd
0.7000000000000001,0.6,0.30000000000000004,0.80523,tbd
0.7000000000000001,0.6,0.4,0.80523,tbd
0.7000000000000001,0.6,0.5,0.80523,tbd
0.7000000000000001,0.6,0.6,0.80523,tbd
0.7000000000000001,0.6,0.7000000000000001,0.80523,tbd
0.7000000000000001,0.6,0.8,0.80523,tbd
0.7000000000000001,0.6,0.9,0.80523,tbd
0.7000000000000001,0.7000000000000001,0.1,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.2,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.30000000000000004,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.4,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.5,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.6,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.7000000000000001,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.8,0.801367,tbd
0.7000000000000001,0.7000000000000001,0.9,0.801367,tbd
0.7000000000000001,0.8,0.1,0.795267,tbd
0.7000000000000001,0.8,0.2,0.795267,tbd
0.7000000000000001,0.8,0.30000000000000004,0.795267,tbd
0.7000000000000001,0.8,0.4,0.795267,tbd
0.7000000000000001,0.8,0.5,0.795267,tbd
0.7000000000000001,0.8,0.6,0.795267,tbd
0.7000000000000001,0.8,0.7000000000000001,0.795267,tbd
0.7000000000000001,0.8,0.8,0.795267,tbd
0.7000000000000001,0.8,0.9,0.795267,tbd
0.7000000000000001,0.9,0.1,0.773709,tbd
0.7000000000000001,0.9,0.2,0.773709,tbd
0.7000000000000001,0.9,0.30000000000000004,0.773709,tbd
0.7000000000000001,0.9,0.4,0.773709,tbd
0.7000000000000001,0.9,0.5,0.773709,tbd
